system:time_start,precipitation
"Sep 27, 1990",0
"Sep 28, 1990",1.361
"Sep 29, 1990",11.894
"Sep 30, 1990",8.114
"Oct 1, 1990",4.253
"Oct 2, 1990",0
"Oct 3, 1990",21.536
"Oct 4, 1990",4.865
"Oct 5, 1990",4.083
"Oct 6, 1990",0
"Oct 7, 1990",13.967
"Oct 8, 1990",13.232
"Oct 9, 1990",0
"Oct 10, 1990",8.086
"Oct 11, 1990",1.552
"Oct 12, 1990",5.328
"Oct 13, 1990",3.745
"Oct 14, 1990",8.328
"Oct 15, 1990",12.495
"Oct 16, 1990",8.322
"Oct 17, 1990",0
"Oct 18, 1990",4.161
"Oct 19, 1990",0
"Oct 20, 1990",16.644
"Oct 21, 1990",9.077
"Oct 22, 1990",13.615
"Oct 23, 1990",0
"Oct 24, 1990",0
"Oct 25, 1990",0
"Oct 26, 1990",0
"Oct 27, 1990",10.415
"Oct 28, 1990",12.468
"Oct 29, 1990",10.415
"Oct 30, 1990",5.998
"Oct 31, 1990",5.208
"Nov 1, 1990",0
"Nov 2, 1990",5.056
"Nov 3, 1990",10.112
"Nov 4, 1990",4.132
"Nov 5, 1990",11.557
"Nov 6, 1990",0
"Nov 7, 1990",0
"Nov 8, 1990",2.74
"Nov 9, 1990",5.789
"Nov 10, 1990",6.616
"Nov 11, 1990",0
"Nov 12, 1990",0
"Nov 13, 1990",0
"Nov 14, 1990",0
"Nov 15, 1990",0
"Nov 16, 1990",0
"Nov 17, 1990",0
"Nov 18, 1990",0
"Nov 19, 1990",0
"Nov 20, 1990",23.239
"Nov 21, 1990",4.286
"Nov 22, 1990",0
"Nov 23, 1990",30.798
"Nov 24, 1990",0
"Nov 25, 1990",0
"Nov 26, 1990",0
"Nov 27, 1990",0
"Nov 28, 1990",18.949
"Nov 29, 1990",16.65
"Nov 30, 1990",0
"Dec 1, 1990",0
"Dec 2, 1990",8.909
"Dec 3, 1990",7.795
"Dec 4, 1990",4.749
"Dec 5, 1990",2.151
"Dec 6, 1990",0
"Dec 7, 1990",0
"Dec 8, 1990",16.082
"Dec 9, 1990",0
"Dec 10, 1990",0
"Dec 11, 1990",0
"Dec 12, 1990",0
"Dec 13, 1990",0
"Dec 14, 1990",0
"Dec 15, 1990",0
"Dec 16, 1990",0
"Dec 17, 1990",0
"Dec 18, 1990",0
"Dec 19, 1990",6.622
"Dec 20, 1990",10.49
"Dec 21, 1990",3.079
"Dec 22, 1990",0
"Dec 23, 1990",0
"Dec 24, 1990",2.694
"Dec 25, 1990",0
"Dec 26, 1990",0
"Dec 27, 1990",13.165
"Dec 28, 1990",0
"Dec 29, 1990",0
"Dec 30, 1990",0
